,sampno,longitude,latitude,altitude,speed,smooth,acceleration1000,acceleration,angle,moyenT,difTempsSec,StoopMoove,StopMoove1,Id
489124,8572161,2.318545,48.811096,579.9000244140619,3.29999995231628,7.800000111262003,0.29468002386093184,-0.29468002386093184,198.20131390728642,1,5.0,1,1,5689
489125,8572161,2.318602,48.811019,581.200012207031,7.900000095367429,6.600000143051147,0.2557600079536439,0.2557600079536439,198.19760236119637,1,5.0,1,1,5689
489126,8572161,2.318518,48.810866,582.299987792969,5.699999809265139,5.633333285649616,0.12232001590728732,-0.12232001590728732,198.19728139058304,1,5.0,0,1,5689
489145,8572161,2.315071,48.80994000000001,424.200012207031,5.699999809265139,9.733333110809335,0.01556800106048584,-0.01556800106048584,198.14176221699336,3,25.0,1,1,5692
489146,8572161,2.314704,48.809946,423.799987792969,12.0,8.266666571299236,0.3502800106048583,0.3502800106048583,198.1329356886655,3,5.0,1,1,5692
489147,8572161,2.314206,48.809914,423.399993896484,15.8999996185303,11.199999809265146,0.2168399787902848,0.2168399787902848,198.1201832402876,3,5.0,1,1,5692
489148,8572161,2.313752,48.809832,423.399993896484,10.0,12.633333206176767,0.3280399787902848,-0.3280399787902848,198.1040412780482,3,5.0,1,1,5692
489149,8572161,2.313498,48.80984,423.5,4.8000001907348615,10.233333269755054,0.2891199893951417,-0.2891199893951417,198.09795029765417,3,5.0,1,1,5692
489152,8572161,2.313165,48.810139,423.600006103516,5.09999990463257,3.0999999046325697,0.1668,0.1668,198.0843275154137,3,5.0,1,1,5694
489153,8572161,2.3132330000000003,48.810272,423.399993896484,5.599999904632571,4.266666571299236,0.027800000000000047,0.027800000000000047,198.0793890666214,3,5.0,1,1,5694
489154,8572161,2.313164,48.810364,423.5,6.900000095367429,5.8666666348775225,0.07228001060485814,0.07228001060485814,198.07560858071065,3,5.0,1,1,5694
489297,8572161,2.314581,48.810037,413.600006103516,11.6000003814697,7.633333524068186,0.26132001590728626,0.26132001590728626,198.12978468662,3,5.0,1,1,5702
489298,8572161,2.314221,48.810097,417.700012207031,6.900000095367429,8.466666857401519,0.26132001590728626,-0.26132001590728626,198.11908202615345,3,5.0,1,1,5702
489299,8572161,2.313772,48.81014,431.600006103516,5.5,8.00000015894571,0.025946668434143026,-0.025946668434143026,198.1061969910156,3,15.0,1,1,5702
489300,8572161,2.3134900000000003,48.810194,436.5,6.400000095367429,6.266666730244952,0.05004000530242906,0.05004000530242906,198.09268715158896,3,5.0,1,1,5702
489301,8572161,2.313052,48.810207,455.5,7.900000095367429,6.600000063578285,0.0417,0.0417,198.08094776924983,3,10.0,1,1,5702
489302,8572161,2.312693,48.810215,461.200012207031,7.699999809265139,7.333333333333332,0.011120015907287327,-0.011120015907287327,198.06771855316163,3,5.0,1,1,5702
489375,8572161,2.291178,48.80863,551.9000244140619,7.0,7.899999936421713,0.1668,-0.1668,197.48723165014732,3,5.0,1,1,5704
489376,8572161,2.290841,48.808813,546.0999755859381,16.1000003814697,11.0333334604899,0.5059600212097155,0.5059600212097155,197.48898185708458,3,5.0,1,1,5704
489377,8572161,2.290287,48.809041,539.5,19.7000007629395,14.266667048136402,0.2001600212097207,0.2001600212097207,197.4765887758549,3,5.0,1,1,5704
489378,8572161,2.289777,48.80923,529.5,15.6999998092651,17.166666984558102,0.2224000530242966,-0.2224000530242966,197.45247233173095,3,5.0,1,1,5704
489379,8572161,2.289473,48.809403,512.5,8.5,14.633333524068199,0.4003199893951395,-0.4003199893951395,197.43185078126717,3,5.0,1,1,5704
489380,8572161,2.28928,48.809522,498.0,10.8999996185303,11.699999809265131,0.13343997879028466,0.13343997879028466,197.41570802252545,3,5.0,1,1,5704
489381,8572161,2.288841,48.809691,481.100006103516,19.3999996185303,12.933333079020198,0.4725999999999999,0.4725999999999999,197.4094230453635,3,5.0,1,1,5704
489382,8572161,2.288351,48.809834,471.100006103516,14.8000001907349,15.0333331425985,0.25575996818542396,-0.25575996818542396,197.39090516678996,3,5.0,1,1,5704
489383,8572161,2.28801,48.809897,458.700012207031,6.300000190734861,13.500000000000016,0.4726000000000023,-0.4726000000000023,197.368955487687,3,5.0,1,1,5704
489384,8572161,2.287663,48.809992,464.399993896484,16.1000003814697,12.400000254313152,0.5448800106048572,0.5448800106048572,197.3590126687344,3,5.0,1,1,5704
489385,8572161,2.287089,48.810169,460.5,19.0,13.80000019073485,0.1612399787902845,0.1612399787902845,197.35048672097682,3,5.0,1,1,5704
489386,8572161,2.286639,48.810269,457.700012207031,11.6999998092651,15.600000063578268,0.4058800106048605,-0.4058800106048605,197.3253738567548,3,5.0,1,1,5704
489387,8572161,2.286417,48.81034,455.200012207031,9.60000038146973,13.433333396911607,0.11675996818542254,-0.11675996818542254,197.30828608674548,3,5.0,1,1,5704
489814,8572161,2.31952,48.813628,470.5,14.5,18.233332951863602,0.24463997879028465,-0.24463997879028465,198.15053218457436,1,5.0,1,1,5709
489815,8572161,2.319408,48.813507,471.700012207031,3.70000004768372,12.366666555404672,0.20015999911626176,-0.20015999911626176,198.15573717437576,1,15.0,1,1,5709
489816,8572161,2.319292,48.813336,474.5,12.8999996185303,10.366666555404674,0.5115199761390699,0.5115199761390699,198.15318866803383,1,5.0,1,1,5709
489817,8572161,2.319045,48.813034,476.700012207031,16.3999996185303,10.99999976158144,0.1946,0.1946,198.14769148458183,1,5.0,1,1,5709
489818,8572161,2.318947,48.812713,479.700012207031,15.6999998092651,14.999999682108564,0.03891998939514511,-0.03891998939514511,198.14762429710743,1,5.0,1,1,5709
489819,8572161,2.318852,48.812534,480.799987792969,5.699999809265139,12.599999745686846,0.5559999999999978,-0.5559999999999978,198.160668780128,1,5.0,1,1,5709
489820,8572161,2.318828,48.812424,480.399993896484,3.20000004768372,8.199999888737986,0.13899998674392694,-0.13899998674392694,198.16627647098838,1,5.0,1,1,5709
489821,8572161,2.318711,48.812298,479.299987792969,4.59999990463257,4.4999999205271415,0.038919996023178034,0.038919996023178034,198.16769463099217,1,10.0,1,1,5709
489822,8572161,2.318468,48.81211500000001,479.799987792969,14.1999998092651,7.333333253860463,0.5337599946975687,0.5337599946975687,198.16472990490828,1,5.0,1,1,5709
